,model,rmse,channel
0,RandomForest,16.68556855023473,channel_0
1,RandomForest,12.744423625012592,channel_1
2,RandomForest,8.20232876575486,channel_2
3,RandomForest,3.3830336527638694,channel_3
4,RandomForest,13.46025374244481,channel_4
5,RandomForest,13.270419717943735,channel_5
6,RandomForest,20.522600431149392,channel_6
7,RandomForest,14.305068844122305,channel_7
8,RandomForest,1.6596905666205315,channel_8
9,RandomForest,9.883427025308206,channel_9
10,RandomForest,12.052761615022048,channel_10
11,RandomForest,2.9104882863565344,channel_11
12,RandomForest,5.8754978099402155,channel_12
13,RandomForest,13.654783225271865,channel_13
14,RandomForest,1.3603494469028101,channel_14
15,RandomForest,13.433678959964098,channel_15
16,RandomForest,1.4001989912335,channel_16
17,RandomForest,1.1456063909532965,channel_17
